Question Number,Test Code,Subject,Correct Ans
92,202,Zology,1
93,202,Zology,3
94,202,Zology,4
95,202,Zology,2
96,202,Zology,3
97,202,Zology,1
98,202,Zology,2
99,202,Zology,2
100,202,Zology,2
101,202,Zology,4
102,202,Zology,1
103,202,Zology,2
104,202,Zology,1
105,202,Zology,1
106,202,Zology,4
107,202,Zology,2
108,202,Zology,2
109,202,Zology,2
110,202,Zology,4
111,202,Zology,1
112,202,Zology,1
113,202,Zology,3
114,202,Zology,3
115,202,Zology,2
116,202,Zology,2
117,202,Zology,2
118,202,Zology,1
119,202,Zology,4
120,202,Zology,2
121,202,NA,0
122,202,NA,0
123,202,NA,0
124,202,NA,0
125,202,NA,0
126,202,NA,0
127,202,NA,0
128,202,NA,0
129,202,NA,0
130,202,NA,0
131,202,NA,0
132,202,NA,0
133,202,NA,0
134,202,NA,0
135,202,NA,0
136,202,NA,0
137,202,NA,0
138,202,NA,0
139,202,NA,0
140,202,NA,0
141,202,NA,0
142,202,NA,0
143,202,NA,0
144,202,NA,0
145,202,NA,0
146,202,NA,0
147,202,NA,0
148,202,NA,0
149,202,NA,0
150,202,NA,0
151,202,NA,0
152,202,NA,0
153,202,NA,0
154,202,NA,0
155,202,NA,0
156,202,NA,0
157,202,NA,0
158,202,NA,0
159,202,NA,0
160,202,NA,0
161,202,NA,0
162,202,NA,0
163,202,NA,0
164,202,NA,0
165,202,NA,0
166,202,NA,0
167,202,NA,0
168,202,NA,0
169,202,NA,0
170,202,NA,0
171,202,NA,0
172,202,NA,0
173,202,NA,0
174,202,NA,0
175,202,NA,0
176,202,NA,0
177,202,NA,0
178,202,NA,0
179,202,NA,0
180,202,NA,0
1,203,Chemistry,2
2,203,Chemistry,2
3,203,Chemistry,1
4,203,Chemistry,4
5,203,Chemistry,2
6,203,Chemistry,4
7,203,Chemistry,2
8,203,Chemistry,2
9,203,Chemistry,2
10,203,Chemistry,4
11,203,Chemistry,4
12,203,Chemistry,1
13,203,Chemistry,2
14,203,Chemistry,1
15,203,Chemistry,1
16,203,Chemistry,3
17,203,Chemistry,1
18,203,Chemistry,3
19,203,Chemistry,4
20,203,Chemistry,2
21,203,Chemistry,3
22,203,Chemistry,1
23,203,Chemistry,2
24,203,Chemistry,2
25,203,Chemistry,2
26,203,Chemistry,1
27,203,Chemistry,1
28,203,Chemistry,3
29,203,Chemistry,3
30,203,Chemistry,2
31,203,Physics,1
